"main_audio_name","language","domain","location","speaker_id","duration","age","gender"
"nepali_agriculture_nrvBblJHFA8","nepali","agriculture","terai","","","",""
"nepali_agriculture_UuCM3zcvTKg","nepali","agriculture","terai","","","",""
"nepali_agriculture_veriMeHgv4w","nepali","agriculture","terai","","","",""
"nepali_agriculture_oIApEru73o8","nepali","agriculture","terai","","","",""
"nepali_agriculture_FTHYhquLD-g","nepali","agriculture","terai","","","",""
"nepali_agriculture_57Dl_iMjNEA","nepali","agriculture","terai","","","",""
"nepali_agriculture_t-0ZNALdCQE","nepali","agriculture","terai","","","",""
"nepali_agriculture_IjLxitnHLOo","nepali","agriculture","terai","","","",""
"nepali_agriculture_qaGTMXZ4swQ","nepali","agriculture","terai","","","",""
"nepali_agriculture_PSaQ3_vx5RI","nepali","agriculture","terai","","","",""
"nepali_agriculture_UR4ggrLoyNg","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_QrE99YEuXjA","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_1CvYvuIK29M","nepali","agriculture","kathmandu","","","",""
"nepali_agriculture_12yBlGbCokc","nepali","agriculture","kathmandu","","","",""
"nepali_finance_8pyD0q0O0bc","nepali","finance","kathmandu","","","",""
"nepali_finance_XRdRkKhUMyk","nepali","finance","kathmandu","","","",""
"nepali_finance_12HjJ1CWX9Q","nepali","finance","kathmandu","","","",""
"nepali_finance_6CO6BCyBBb0","nepali","finance","kathmandu","","","",""
"nepali_finance_e1aOCeNbeXA","nepali","finance","kathmandu","","","",""
"nepali_finance_9YfrhFwDiQg","nepali","finance","kathmandu","","","",""
"nepali_finance_kD0Y66sWVqc","nepali","finance","kathmandu","","","",""
"nepali_finance_tYDdf00-UM4","nepali","finance","kathmandu","","","",""
"nepali_finance_MbFADp0tnQI","nepali","finance","kathmandu","","","",""
"nepali_finance_Il7EIOTP8bE","nepali","finance","kathmandu","","","",""
"nepali_finance_p14MEfWtGn0","nepali","finance","kathmandu","","","",""
"nepali_finance_GaOPaESW_Ac","nepali","finance","kathmandu","","","",""
"nepali_finance_c_X73FqbsVw","nepali","finance","kathmandu","","","",""
"nepali_finance_ZkmhQepifNQ","nepali","finance","kathmandu","","","",""
"nepali_finance_mkgGW7C24c8","nepali","finance","kathmandu","","","",""
"nepali_finance_RQOE2rcywnE","nepali","finance","kathmandu","","","",""
"nepali_finance_iRREj39Oi3A","nepali","finance","kathmandu","","","",""
"nepali_finance_60sItGm2CFM","nepali","finance","kathmandu","","","",""
"nepali_finance_BI8SwGahfnk","nepali","finance","kathmandu","","","",""
"nepali_finance_diLmgvyJqG0","nepali","finance","kathmandu","","","",""
"nepali_finance_T2p9zDsb8FE","nepali","finance","kathmandu","","","",""
"nepali_finance_1_cx9_60_9g","nepali","finance","kathmandu","","","",""
"nepali_finance_2ojPtShwOv4","nepali","finance","kathmandu","","","",""
"nepali_finance_ca3p29t2E-E","nepali","finance","kathmandu","","","",""
"nepali_finance_O4HVKTMTV0Y","nepali","finance","kathmandu","","","",""
"nepali_finance_sPcn0U4_0JA","nepali","finance","kathmandu","","","",""
"nepali_finance_rZD5CTM_Lag","nepali","finance","kathmandu","","","",""
"nepali_finance_IwxtWULc8Dw","nepali","finance","kathmandu","","","",""
"nepali_finance_1nk7CICGe5s","nepali","finance","kathmandu","","","",""
"nepali_finance_XC2HH-RPO1E","nepali","finance","kathmandu","","","",""
"nepali_finance_RqyuiffBh9Q","nepali","finance","kathmandu","","","",""
"nepali_finance_rQyrN8CVWJo","nepali","finance","kathmandu","","","",""
"nepali_finance_jxqmfrdI_SM","nepali","finance","kathmandu","","","",""
"nepali_finance_TcCpsrCIOB0","nepali","finance","kathmandu","","","",""
"nepali_finance_QL4y472y_No","nepali","finance","kathmandu","","","",""
"nepali_finance_9gRcWzZJl7I","nepali","finance","kathmandu","","","",""
"nepali_finance_5ypAlvuyNnw","nepali","finance","kathmandu","","","",""
"nepali_finance_67zP9nvlhAA","nepali","finance","kathmandu","","","",""
"nepali_finance_bfrHmrBY358","nepali","finance","kathmandu","","","",""
"nepali_finance_UJHHqU2ubP0","nepali","finance","kathmandu","","","",""
"nepali_finance_KRJPEJmlGMM","nepali","finance","kathmandu","","","",""
"nepali_finance_N2_D0s4K0tE","nepali","finance","kathmandu","","","",""
"nepali_finance_bw10oat-zwI","nepali","finance","kathmandu","","","",""
"nepali_finance_d-kKT0VT2RM","nepali","finance","kathmandu","","","",""
